dim_hour,trip_count,dim_year,dim_month
0,404,2019,1
1,309,2019,1
2,204,2019,1
3,115,2019,1
4,89,2019,1
5,285,2019,1
6,942,2019,1
7,2469,2019,1
8,7188,2019,1
9,5161,2019,1
10,2606,2019,1
11,2695,2019,1
12,3133,2019,1
13,3045,2019,1
14,2747,2019,1
15,3348,2019,1
16,5341,2019,1
17,7887,2019,1
18,4863,2019,1
19,3017,2019,1
20,2196,2019,1
21,1651,2019,1
22,1047,2019,1
23,717,2019,1
0,314,2019,2
1,205,2019,2
2,143,2019,2
3,61,2019,2
4,68,2019,2
5,231,2019,2
6,676,2019,2
7,1513,2019,2
8,4058,2019,2
9,3169,2019,2
10,1692,2019,2
11,1759,2019,2
12,2130,2019,2
13,2144,2019,2
14,1904,2019,2
15,2377,2019,2
16,3440,2019,2
17,4937,2019,2
18,3395,2019,2
19,2020,2019,2
20,1448,2019,2
21,1043,2019,2
22,793,2019,2
23,535,2019,2
0,661,2019,3
1,377,2019,3
2,285,2019,3
3,113,2019,3
4,117,2019,3
5,378,2019,3
6,1224,2019,3
7,3433,2019,3
8,9334,2019,3
9,6882,2019,3
10,3634,2019,3
11,3622,2019,3
12,4188,2019,3
13,4204,2019,3
14,4125,2019,3
15,4752,2019,3
16,7422,2019,3
17,11355,2019,3
18,7921,2019,3
19,5019,2019,3
20,3177,2019,3
21,2396,2019,3
22,1805,2019,3
23,1116,2019,3
0,1157,2019,4
1,747,2019,4
2,608,2019,4
3,294,2019,4
4,210,2019,4
5,574,2019,4
6,1867,2019,4
7,5458,2019,4
8,14587,2019,4
9,9916,2019,4
10,5523,2019,4
11,5886,2019,4
12,7440,2019,4
13,7506,2019,4
14,7331,2019,4
15,8394,2019,4
16,12070,2019,4
17,18089,2019,4
18,13783,2019,4
19,8977,2019,4
20,5794,2019,4
21,4005,2019,4
22,3094,2019,4
23,1837,2019,4
0,1929,2019,5
1,1186,2019,5
2,790,2019,5
3,380,2019,5
4,277,2019,5
5,707,2019,5
6,2317,2019,5
7,6926,2019,5
8,18208,2019,5
9,12614,2019,5
10,7935,2019,5
11,9257,2019,5
12,11428,2019,5
13,12063,2019,5
14,12320,2019,5
15,13539,2019,5
16,18861,2019,5
17,25975,2019,5
18,19391,2019,5
19,13503,2019,5
20,9935,2019,5
21,6526,2019,5
22,4811,2019,5
23,3728,2019,5
0,4019,2019,6
1,2275,2019,6
2,1701,2019,6
3,818,2019,6
4,455,2019,6
5,994,2019,6
6,2986,2019,6
7,8104,2019,6
8,20529,2019,6
9,15775,2019,6
10,10498,2019,6
11,12571,2019,6
12,16129,2019,6
13,16740,2019,6
14,17385,2019,6
15,18941,2019,6
16,24586,2019,6
17,32619,2019,6
18,25318,2019,6
19,19357,2019,6
20,15580,2019,6
21,11104,2019,6
22,7638,2019,6
23,5792,2019,6
0,4030,2019,7
1,2456,2019,7
2,1717,2019,7
3,769,2019,7
4,625,2019,7
5,1536,2019,7
6,4285,2019,7
7,11014,2019,7
8,28427,2019,7
9,20191,2019,7
10,13330,2019,7
11,15657,2019,7
12,19825,2019,7
13,20323,2019,7
14,20504,2019,7
15,22841,2019,7
16,30593,2019,7
17,44057,2019,7
18,35056,2019,7
19,27976,2019,7
20,22213,2019,7
21,16095,2019,7
22,11091,2019,7
23,7621,2019,7
0,4344,2019,8
1,2726,2019,8
2,1900,2019,8
3,877,2019,8
4,670,2019,8
5,1477,2019,8
6,4413,2019,8
7,11223,2019,8
8,29812,2019,8
9,21298,2019,8
10,14135,2019,8
11,17864,2019,8
12,22209,2019,8
13,23090,2019,8
14,23574,2019,8
15,26193,2019,8
